workerID,gender,age,income,language,order,personA,personB,food,totalQuant,eatenQuant,upset,happy,surprised,neutral
1,M,25,6,english,1,Cathy,Nancy,cookies,10,8,0.725,0.175,0.7,0.3
1,M,25,6,english,2,Bob,Zack,pies,10,4,0.275,0.425,0.2,0.7
1,M,25,6,english,3,Diana,Rebecca,pies,10,0,0.175,0.35,0.725,0.725
1,M,25,6,english,4,Emma,Nathan,M&M's,10,1,0.2,0.2,0.75,0.65
1,M,25,6,english,5,Patty,Iris,cookies,10,0,0.15,0.15,0.75,0.7
1,M,25,6,english,6,Henry,Ann,M&M's,10,9,0.8,0.15,0.8,0.225
1,M,25,6,english,7,Frank,Ivan,M&M's,10,2,0.175,0.15,0.35,0.775
1,M,25,6,english,8,Winston,Barbara,pies,10,9,0.75,0.175,0.75,0.325
1,M,25,6,english,9,Olga,Kathy,cookies,10,5,0.65,0.325,0.675,0.3
1,M,25,6,english,10,Victoria,Calvin,M&M's,10,6,0.7,0.175,0.725,0.3
1,M,25,6,english,11,Yvonne,George,cookies,10,3,0.275,0.375,0.35,0.725
2,F,35,4,English,1,Albert,Calvin,cookies,10,0,0,0,0.75,0.575
2,F,35,4,English,2,Fiona,Bob,M&M's,10,3,0.025,0.325,0.2,0.15
2,F,35,4,English,3,Nathan,David,pies,10,5,0.775,0.2,0.95,0.025
2,F,35,4,English,4,Tom,Larry,pies,10,2,0.05,0.8,0.35,0.25
2,F,35,4,English,5,Wendy,Lena,pies,10,0,0.025,0.4,0.95,0
2,F,35,4,English,6,Victoria,Kevin,cookies,10,1,0.025,0.875,0.175,0
2,F,35,4,English,7,Emma,Rebecca,M&M's,10,5,0.7,0.175,0.85,0
2,F,35,4,English,8,Frank,Jane,pies,10,9,1,0,0.975,0
2,F,35,4,English,9,Patrick,Heather,cookies,10,9,0.925,0.025,0.9,0
2,F,35,4,English,10,Matt,Barbara,pies,10,10,1,0,0.8,0
2,F,35,4,English,11,Edward,Winston,cookies,10,6,0.9,0,0.85,0
3,M,35,4,english,1,Kathy,Edward,cookies,10,7,0.8,0.35,0.8,0.025
3,M,35,4,english,2,Henry,Stephanie,M&M's,10,10,0,0.5,0,0.5
3,M,35,4,english,3,Zack,Nathan,M&M's,10,5,0,0.5,0.5,0.5
3,M,35,4,english,4,Victor,Jane,pies,10,1,0.2,0.5,0.775,0.375
3,M,35,4,english,5,George,Matt,cookies,10,2,0,0.5,0,0.5
3,M,35,4,english,6,Nancy,Mary,M&M's,10,2,0,0.5,0.75,0.5
3,M,35,4,english,7,Patrick,Olga,M&M's,10,4,0,0.5,0.625,0.5
3,M,35,4,english,8,Tom,Frank,cookies,10,8,0.575,0.125,0.875,0.125
3,M,35,4,english,9,Steven,Kevin,pies,10,6,0.7,0.1,1,0
3,M,35,4,english,10,Patty,Winston,pies,10,7,0.7,0.125,1,0
3,M,35,4,english,11,Calvin,Ivan,cookies,10,1,0,0.7,0,0.45
4,F,35,4,English.,1,Zack,Grace,pies,10,0,0.6,0.3,0.675,0.35
4,F,35,4,English.,2,Mary,Frank,M&M's,10,2,0.45,0.55,0.35,0.5
4,F,35,4,English.,3,Nancy,Iris,M&M's,10,3,0.425,0.55,0.375,0.5
4,F,35,4,English.,4,Patrick,Victor,M&M's,10,9,0.75,0.275,0.575,0.35
4,F,35,4,English.,5,Victoria,Yvonne,pies,10,2,0.4,0.675,0.775,0.425
4,F,35,4,English.,6,Barbara,Steven,cookies,10,1,0.25,0.375,0.15,0.5
4,F,35,4,English.,7,Larry,Bob,cookies,10,5,0.575,0.425,0.675,0.4
4,F,35,4,English.,8,Heather,David,M&M's,10,6,0.575,0.35,0.6,0.325
4,F,35,4,English.,9,Rebecca,Kathy,M&M's,10,4,0.4,0.4,0.4,0.5
4,F,35,4,English.,10,Kevin,Jane,pies,10,8,0.75,0.325,0.925,0.325
4,F,35,4,English.,11,Tracy,Henry,pies,10,4,0.35,0.45,0.575,0.425
5,M,45,4,English,1,Nathan,Yvonne,pies,10,4,0.725,0.125,0.875,0.3
5,M,45,4,English,2,Tom,Jake,cookies,10,8,0.95,0,0.975,0.1
5,M,45,4,English,3,Albert,Frank,pies,10,3,0.7,0.425,0.725,0.35
5,M,45,4,English,4,Heather,Zack,M&M's,10,7,0.125,0.5,0.25,0.825
5,M,45,4,English,5,Olga,Iris,pies,10,9,0.95,0.075,0.975,0
5,M,45,4,English,6,Calvin,Grace,pies,10,0,0.675,0.35,0.575,0.75
5,M,45,4,English,7,Patty,Winston,pies,10,1,0.125,0.8,0.15,0.8
5,M,45,4,English,8,Lena,George,M&M's,10,9,0.225,0.5,0.275,0.7
5,M,45,4,English,9,Barbara,Matt,cookies,10,7,0.6,0.425,0.675,0.25
5,M,45,4,English,10,Oliver,Edward,M&M's,10,3,0.175,0.725,0.05,0.725
5,M,45,4,English,11,Victor,Kathy,cookies,10,6,0.7,0.325,0.675,0.325
6,M,65,4,English,1,Bob,Iris,cookies,10,1,0.125,0.6,0.3,0.625
6,M,65,4,English,2,Nancy,Albert,pies,10,6,0.6,0.425,1,0.225
6,M,65,4,English,3,Cathy,Kevin,M&M's,10,4,0.425,0.35,0.3,0.5
6,M,65,4,English,4,Steven,Mary,pies,10,8,0.725,0.275,0.925,0.15
6,M,65,4,English,5,Jake,Larry,cookies,10,4,0.525,0.425,0.675,0.3
6,M,65,4,English,6,Diana,Robert,cookies,10,9,0.6,0.35,0.775,0.225
6,M,65,4,English,7,Ivan,Patrick,cookies,10,10,0.9,0.325,1,0
6,M,65,4,English,8,Fiona,Tom,M&M's,10,7,0.175,0.475,0.325,0.4
6,M,65,4,English,9,Heather,Henry,M&M's,10,0,0.225,0.5,0.375,0.925
6,M,65,4,English,10,Emma,Ann,pies,10,3,0.525,0.425,0.675,0.35
6,M,65,4,English,11,Olga,Calvin,pies,10,9,0.9,0.425,1,0
7,M,25,4,english,1,Tracy,Heather,M&M's,10,0,0.175,0.775,0.425,0.3
7,M,25,4,english,2,David,Rebecca,M&M's,10,1,0.125,0.575,0.3,0.275
7,M,25,4,english,3,Bob,Kathy,pies,10,7,0.125,0.875,0.8,0.05
7,M,25,4,english,4,Jane,Calvin,cookies,10,5,0.125,0.85,0.55,0.2
7,M,25,4,english,5,Steven,Larry,M&M's,10,5,0.125,0.825,0.25,0.175
7,M,25,4,english,6,Robert,Frank,pies,10,10,0.675,0.3,0.9,0.2
7,M,25,4,english,7,Fiona,Tom,cookies,10,8,0.3,0.225,0.875,0.075
7,M,25,4,english,8,Henry,Lena,cookies,10,10,0.65,0.1,0.825,0.375
7,M,25,4,english,9,Nathan,Stephanie,pies,10,0,0.3,0.225,0.075,0.7
7,M,25,4,english,10,Patrick,Diana,pies,10,8,0.2,0.05,0.65,0.575
7,M,25,4,english,11,Jake,Wendy,M&M's,10,10,0.175,0.75,0.65,0.7
8,M,65,6,English,1,Olga,Nancy,M&M's,10,6,0.325,0.725,0.175,0.625
8,M,65,6,English,2,Calvin,Larry,pies,10,0,0,0.5,0.575,0.8
8,M,65,6,English,3,Steven,Emma,M&M's,10,5,0,0.8,0,0.775
8,M,65,6,English,4,Grace,Winston,pies,10,2,0,0.625,0.625,0.425
8,M,65,6,English,5,Oliver,Wendy,cookies,10,7,0.375,0.575,0.425,0.6
8,M,65,6,English,6,Cathy,Heather,M&M's,10,9,0,0.75,0,0.75
8,M,65,6,English,7,Frank,Jane,M&M's,10,2,0,0.5,0,1
8,M,65,6,English,8,Lena,George,pies,10,6,0.6,0.45,0.675,0.275
8,M,65,6,English,9,Bob,Kevin,cookies,10,5,0,0.675,0,0.775
8,M,65,6,English,10,Mary,Victor,cookies,10,6,0,0.775,0,0.75
8,M,65,6,English,11,Zack,Ivan,M&M's,10,10,0,0.5,0,0.575
9,F,35,6,English,1,Nancy,Victoria,cookies,10,1,0,0.875,0,0.5
9,F,35,6,English,2,Stephanie,Iris,cookies,10,0,0.7,0.375,0.425,0.5
9,F,35,6,English,3,Emma,Robert,pies,10,5,0.675,0.125,0.95,0.275
9,F,35,6,English,4,Tom,Jane,cookies,10,5,0.725,0.25,0.875,0.3
9,F,35,6,English,5,Kevin,Steven,cookies,10,10,1,0,1,0.025
9,F,35,6,English,6,Lena,Diana,cookies,10,6,0.725,0.325,0.85,0.275
9,F,35,6,English,7,Yvonne,Heather,M&M's,10,0,0.1,0.475,0,0.875
9,F,35,6,English,8,Fiona,Kathy,pies,10,6,0.8,0.125,1,0.15
9,F,35,6,English,9,George,Tracy,cookies,10,8,0.9,0.075,1,0.075
9,F,35,6,English,10,Olga,Jake,M&M's,10,1,0.05,0.95,0,0.95
9,F,35,6,English,11,Patrick,Zack,M&M's,10,4,0.625,0.475,0.425,0.625
10,F,65,6,English,1,Nathan,Zack,M&M's,10,7,0.3,0.1,0.1,0.3
10,F,65,6,English,2,Yvonne,Barbara,M&M's,10,2,0.125,0.5,0.15,0.5
10,F,65,6,English,3,Olga,Kathy,cookies,10,2,0.2,0.7,0.275,0.7
10,F,65,6,English,4,David,Ann,pies,10,8,0.8,0.2,0.9,0.125
10,F,65,6,English,5,Iris,Stephanie,cookies,10,1,0.125,0.725,0.175,0.5
10,F,65,6,English,6,Cathy,Ivan,pies,10,6,0.775,0.2,0.925,0.15
10,F,65,6,English,7,Frank,Victor,M&M's,10,9,0.05,0.5,0.05,0.925
10,F,65,6,English,8,George,Kevin,M&M's,10,3,0.075,0.5,0.5,0.925
10,F,65,6,English,9,Oliver,Rebecca,pies,10,5,0.75,0.175,0.75,0.175
10,F,65,6,English,10,Jane,Robert,pies,10,1,0.275,0.4,0.775,0.375
10,F,65,6,English,11,Emma,Victoria,cookies,10,6,0.375,0.4,0.7,0.375
11,M,25,4,ENGLISH,1,Jake,Emma,cookies,10,6,0.35,0.125,0.45,0
11,M,25,4,ENGLISH,2,Oliver,Steven,pies,10,10,1,0,1,0
11,M,25,4,ENGLISH,3,Winston,Diana,M&M's,10,5,0.225,0.125,0.3,0.175
11,M,25,4,ENGLISH,4,Ann,Matt,cookies,10,1,0.025,1,0.775,0.825
11,M,25,4,ENGLISH,5,Victor,Wendy,M&M's,10,0,0,0.5,1,1
11,M,25,4,ENGLISH,6,Albert,Zack,M&M's,10,9,1,0.175,1,0.5
11,M,25,4,ENGLISH,7,Edward,Victoria,M&M's,10,2,0,0.775,0.5,0.5
11,M,25,4,ENGLISH,8,Kathy,Grace,cookies,10,8,1,0,0.8,0
11,M,25,4,ENGLISH,9,Patty,Yvonne,cookies,10,9,1,0,0.975,0.5
11,M,25,4,ENGLISH,10,Kevin,Jane,pies,10,8,1,0,0.775,0.5
11,M,25,4,ENGLISH,11,Larry,Bob,pies,10,0,0,0,1,1
12,M,35,4,English,1,Kathy,Robert,cookies,10,8,0.325,0.525,0.85,0.2
12,M,35,4,English,2,Nathan,Ivan,pies,10,3,0.05,1,0.15,0.075
12,M,35,4,English,3,Patrick,Rebecca,M&M's,10,10,0.675,0.15,0.8,0.15
12,M,35,4,English,4,Tom,George,cookies,10,7,0.625,0.5,0.825,0.225
12,M,35,4,English,5,Nancy,Steven,pies,10,6,0.725,0.25,1,0.075
12,M,35,4,English,6,Lena,Iris,cookies,10,6,0.425,0.5,0.625,0.15
12,M,35,4,English,7,Olga,Diana,pies,10,4,0.525,0.475,0.85,0.125
12,M,35,4,English,8,Stephanie,Frank,M&M's,10,2,0,0.475,0,0.85
12,M,35,4,English,9,Calvin,Barbara,cookies,10,3,0.075,0.8,0.075,0.375
12,M,35,4,English,10,Edward,Zack,M&M's,10,0,0,0.5,0.1,1
12,M,35,4,English,11,Grace,Victoria,M&M's,10,3,0,0.5,0.025,0.875
13,M,35,6,english,1,Iris,Bob,pies,10,4,0.325,0.5,0.75,0.575
13,M,35,6,english,2,Frank,Olga,pies,10,0,0.65,0.375,0.575,0.65
13,M,35,6,english,3,David,Wendy,cookies,10,2,0.575,0.675,0.6,0.325
13,M,35,6,english,4,Nathan,Jake,M&M's,10,4,0.35,0.775,0.5,0.3
13,M,35,6,english,5,Zack,Edward,M&M's,10,8,0.6,0.275,0.8,0.325
13,M,35,6,english,6,Ivan,Stephanie,M&M's,10,9,0.575,0.6,0.275,0.4
13,M,35,6,english,7,Cathy,Fiona,M&M's,10,3,0.5,0.475,0.325,0.5
13,M,35,6,english,8,Kathy,Steven,pies,10,10,0.625,0.4,0.6,0.675
13,M,35,6,english,9,Calvin,Ann,cookies,10,3,0.7,0.4,0.65,0.5
13,M,35,6,english,10,Mary,Yvonne,pies,10,8,0.575,0.675,0.75,0.125
13,M,35,6,english,11,Albert,Robert,pies,10,3,0.5,0.6,0.275,0.375
14,M,35,6,english,1,Kathy,Patty,M&M's,10,9,0.725,0.025,0.775,0.225
14,M,35,6,english,2,Nancy,Cathy,pies,10,0,0.15,0.5,0.675,0.5
14,M,35,6,english,3,Fiona,Kevin,cookies,10,7,0.7,0.325,0.625,0.25
14,M,35,6,english,4,Nathan,Jane,M&M's,10,2,0.025,0.5,0.125,0.8
14,M,35,6,english,5,Mary,Olga,M&M's,10,1,0,0.5,0.025,0.825
14,M,35,6,english,6,Wendy,Steven,M&M's,10,3,0.075,0.5,0.2,0.725
14,M,35,6,english,7,Ann,Calvin,M&M's,10,6,0.575,0.25,0.6,0.325
14,M,35,6,english,8,Frank,Heather,cookies,10,10,1,0.025,1,0
14,M,35,6,english,9,Robert,Winston,pies,10,7,0.775,0.1,0.9,0.025
14,M,35,6,english,10,Ivan,David,M&M's,10,4,0.575,0.4,0.525,0.375
14,M,35,6,english,11,Patrick,Victor,cookies,10,1,0,0.5,0,1
15,F,25,0,English,1,Bob,Stephanie,M&M's,10,6,0.85,0.225,0.675,0.275
15,F,25,0,English,2,Tom,Jake,M&M's,10,4,0.625,0.275,0.7,0.5
15,F,25,0,English,3,Kevin,Lena,pies,10,8,0.9,0.05,0.825,0.25
15,F,25,0,English,4,Nathan,Grace,M&M's,10,7,0.85,0.125,0.65,0.25
15,F,25,0,English,5,Ivan,Ann,cookies,10,4,0.5,0.25,0.75,0.5
15,F,25,0,English,6,George,Henry,cookies,10,7,0.925,0.175,0.775,0.2
15,F,25,0,English,7,Patty,Victor,pies,10,2,0.1,0.525,0.1,0.5
15,F,25,0,English,8,Diana,Cathy,pies,10,3,0.4,0.5,0.5,0.5
15,F,25,0,English,9,Jane,Matt,cookies,10,8,0.825,0.25,0.775,0.275
15,F,25,0,English,10,Robert,Steven,M&M's,10,10,0.975,0.025,0.975,0.05
15,F,25,0,English,11,Patrick,Nancy,pies,10,10,0.975,0,0.95,0
16,M,35,4,English,1,Diana,Grace,M&M's,10,8,0.425,0.525,0.65,0.5
16,M,35,4,English,2,Edward,Heather,M&M's,10,4,0.4,0.575,0.3,0.5
16,M,35,4,English,3,Jane,Victoria,cookies,10,9,0.425,0.4,0.65,0.5
16,M,35,4,English,4,Ivan,Olga,pies,10,1,0.2,0.65,0.25,0.5
16,M,35,4,English,5,Yvonne,Victor,M&M's,10,10,0.6,0.3,0.675,0.375
16,M,35,4,English,6,Calvin,Tracy,pies,10,10,0.625,0.3,0.725,0.225
16,M,35,4,English,7,David,Iris,cookies,10,8,0.575,0.4,0.625,0.475
16,M,35,4,English,8,Rebecca,Henry,pies,10,8,0.55,0.475,0.625,0.425
16,M,35,4,English,9,Cathy,Lena,M&M's,10,5,0.45,0.425,0.55,0.5
16,M,35,4,English,10,Matt,Stephanie,cookies,10,4,0.375,0.575,0.5,0.5
16,M,35,4,English,11,Kevin,Winston,M&M's,10,6,0.5,0.55,0.6,0.475
17,M,35,0,english,1,Henry,Victoria,cookies,10,4,0.025,0.55,0.35,0.5
17,M,35,0,english,2,Bob,Patty,cookies,10,3,0.025,0.6,0.25,0.5
17,M,35,0,english,3,Larry,Calvin,pies,10,0,0.025,0.5,0.5,0.5
17,M,35,0,english,4,Matt,Mary,cookies,10,9,0.15,0.5,0.225,0.5
17,M,35,0,english,5,Nancy,Kathy,cookies,10,6,0.025,0.6,0.225,0.5
17,M,35,0,english,6,Emma,Winston,pies,10,9,0.5,0.5,0.775,0.5
17,M,35,0,english,7,Steven,Robert,cookies,10,10,0.125,0.5,0.75,0.5
17,M,35,0,english,8,David,Yvonne,pies,10,1,0.1,0.6,0.725,0.5
17,M,35,0,english,9,Nathan,Lena,cookies,10,7,0.1,0.575,0.7,0.5
17,M,35,0,english,10,Albert,Tom,M&M's,10,9,0.15,0.625,0.5,0.5
17,M,35,0,english,11,Victor,Diana,pies,10,8,0.125,0.5,0.75,0.225
18,M,35,6,English,1,Wendy,Heather,M&M's,10,6,0.375,0.5,0.5,1
18,M,35,6,English,2,Zack,Olga,pies,10,2,0.5,0.5,0.675,0.875
18,M,35,6,English,3,Nathan,Albert,cookies,10,0,0.8,0.3,1,0.55
18,M,35,6,English,4,Steven,Matt,cookies,10,6,0.5,0.25,0.9,0.7
18,M,35,6,English,5,Mary,Patrick,cookies,10,4,0.225,0.7,0.025,1
18,M,35,6,English,6,Emma,Diana,pies,10,3,0.275,0.625,0.825,0.525
18,M,35,6,English,7,George,Larry,M&M's,10,9,0.375,0.25,0.925,0.225
18,M,35,6,English,8,Victoria,Robert,M&M's,10,10,0.225,0.6,1,0.75
18,M,35,6,English,9,Ann,Fiona,cookies,10,5,0.225,0.675,0.6,1
18,M,35,6,English,10,Kathy,Tom,cookies,10,8,0.225,0.65,0.8,1
18,M,35,6,English,11,Patty,Barbara,pies,10,0,0.775,0.025,1,0.875
19,F,35,4,english,1,Stephanie,Robert,pies,10,1,0,0.625,0.675,0.5
19,F,35,4,english,2,Larry,Matt,cookies,10,2,0.15,0.6,0.1,0.5
19,F,35,4,english,3,Winston,Albert,M&M's,10,1,0,0.5,0,0.7
19,F,35,4,english,4,Patrick,Victoria,M&M's,10,3,0,0.5,0.2,0.7
19,F,35,4,english,5,David,Heather,pies,10,9,0.75,0.325,0.9,0.275
19,F,35,4,english,6,Jane,Patty,M&M's,10,5,0,0.5,0,0.65
19,F,35,4,english,7,Kathy,Tracy,cookies,10,10,0.5,0.5,0.625,0.55
19,F,35,4,english,8,Zack,Edward,M&M's,10,2,0,0.5,0,0.75
19,F,35,4,english,9,Bob,Diana,cookies,10,7,0.375,0.5,0.5,0.5
19,F,35,4,english,10,Emma,Frank,M&M's,10,6,0.025,0.5,0.1,0.625
19,F,35,4,english,11,Olga,Calvin,pies,10,5,0.5,0.425,0.8,0.15
20,M,25,0,English,1,Tracy,Mary,M&M's,10,5,0.5,0,1,0.5
20,M,25,0,English,2,Matt,Heather,pies,10,6,1,0,1,0.5
20,M,25,0,English,3,Kevin,Steven,cookies,10,4,0.75,0,0.5,0.5
20,M,25,0,English,4,Henry,Olga,M&M's,10,0,0,0,0,1
20,M,25,0,English,5,Patty,Yvonne,M&M's,10,9,1,0,1,0
20,M,25,0,English,6,Jake,Oliver,pies,10,1,0,1,0,0.5
20,M,25,0,English,7,Frank,Lena,cookies,10,10,1,0,1,0
20,M,25,0,English,8,Emma,Patrick,pies,10,4,0.5,0.25,0.825,0.5
20,M,25,0,English,9,Fiona,Grace,pies,10,3,0,0.5,0,0.5
20,M,25,0,English,10,Nathan,George,cookies,10,9,1,0,1,0
20,M,25,0,English,11,Victoria,Cathy,cookies,10,0,0.225,0.225,0,1
