"","food","totalQuant","eatenQuant","N","probAffect","sd","se","ci"
"1","bananas","10","0",18,0.102777777777778,0.16062581858086,0.0378598685173887,0.0798773403727078
"2","bananas","10","1",11,0.0954545454545455,0.120321538916658,0.0362783089804271,0.0808331097236522
"3","bananas","10","2",12,0.245833333333333,0.199383519576689,0.0575570643497882,0.126682244492323
"4","bananas","10","3",16,0.446875,0.194481147329675,0.0486202868324187,0.103631688273945
"5","bananas","10","4",13,0.421153846153846,0.190352237599074,0.0527942117740589,0.115028705945488
"6","bananas","10","5",13,0.530769230769231,0.253343032877741,0.0702647150247889,0.153093662568922
"7","bananas","10","6",15,0.666666666666667,0.157736972143351,0.0407275110794922,0.0873518235953197
"8","bananas","10","7",16,0.6640625,0.244262282188634,0.0610655705471586,0.13015818259209
"9","bananas","10","8",20,0.75375,0.145835839577462,0.0326098850850959,0.0682532738945964
"10","bananas","10","9",16,0.7390625,0.208560293040965,0.0521400732602413,0.111133935455995
"11","bananas","10","10",15,0.846666666666667,0.192693934468505,0.0497533599407801,0.106710344080168
"12","bananas","100","0",8,0.425,0.407956580322675,0.144234432187919,0.341060236266268
"13","bananas","100","1",14,0.476785714285714,0.231936721665938,0.0619876962775349,0.133916276124322
"14","bananas","100","2",17,0.523529411764706,0.208692093060284,0.0506152672305166,0.107299573223472
"15","bananas","100","3",12,0.595833333333333,0.190045847737919,0.0548615106749291,0.120749370855728
"16","bananas","100","4",12,0.583333333333333,0.264646705605565,0.0763969233607604,0.168148494593692
"17","bananas","100","5",12,0.741666666666667,0.248022481874429,0.0715979233376404,0.157585966759525
"18","bananas","100","6",12,0.78125,0.221596736520111,0.0639694677407144,0.140795849196273
"19","bananas","100","7",10,0.7325,0.315138858283138,0.0996556571399737,0.225436758612554
"20","bananas","100","8",14,0.8375,0.225480256683032,0.0602621334278395,0.130188424229083
"21","bananas","100","9",19,0.869736842105263,0.141808494536847,0.0325330998432503,0.0683495064980469
"22","bananas","100","10",14,0.825,0.308220700148449,0.0823754471047914,0.1779613339873
"23","blueberries","10","0",15,0.181666666666667,0.220078449216464,0.056824011244968,0.121875382872299
"24","blueberries","10","1",11,0.175,0.245458754172672,0.0740085990089849,0.164901434832992
"25","blueberries","10","2",17,0.122058823529412,0.138880105931445,0.0336833732971952,0.0714055615483717
"26","blueberries","10","3",14,0.185714285714286,0.135417547193531,0.0361918618396773,0.0781877639374707
"27","blueberries","10","4",14,0.276785714285714,0.200591501688009,0.0536103338582155,0.115818084929795
"28","blueberries","10","5",11,0.518181818181818,0.235873617932069,0.0711185716931198,0.158462052687211
"29","blueberries","10","6",10,0.2925,0.24467949557647,0.0773744502762737,0.175033166910046
"30","blueberries","10","7",16,0.39375,0.296296585648007,0.0740741464120017,0.157885305707589
"31","blueberries","10","8",14,0.5,0.3,0.0801783725737273,0.173214843034476
"32","blueberries","10","9",14,0.523214285714286,0.344805447612558,0.0921531321471017,0.199084738285472
"33","blueberries","10","10",12,0.672916666666667,0.28810871001738,0.0831698206422051,0.183055541000977
"34","blueberries","100","0",10,0.085,0.110050493461461,0.0348010216963685,0.0787253805031357
"35","blueberries","100","1",12,0.241666666666667,0.282105181330179,0.0814367511903836,0.179241080856109
"36","blueberries","100","2",15,0.411666666666667,0.2447423329214,0.0631921986344356,0.135533786411395
"37","blueberries","100","3",13,0.344230769230769,0.15449981329339,0.0428505383753023,0.0933633027702566
"38","blueberries","100","4",10,0.465,0.227974170076836,0.0720917625129406,0.163082896947396
"39","blueberries","100","5",11,0.559090909090909,0.172942449702469,0.0521441105443636,0.116184318606164
"40","blueberries","100","6",8,0.428125,0.140431414373199,0.0496500026974535,0.117403600470046
"41","blueberries","100","7",14,0.657142857142857,0.19695483947141,0.0526383949977912,0.113718338679736
"42","blueberries","100","8",12,0.645833333333333,0.281197385651022,0.0811746931505183,0.178664294999283
"43","blueberries","100","9",23,0.754347826086956,0.215671806370794,0.0449706803340369,0.0932634827900804
"44","blueberries","100","10",14,0.883928571428571,0.142304907902668,0.0380325864163002,0.0821644076179875
"45","cookies","10","0",15,0.148333333333333,0.151912412107704,0.0392236161450224,0.0841262897598419
"46","cookies","10","1",16,0.1390625,0.240306878456139,0.0600767196140346,0.128050496720056
"47","cookies","10","2",13,0.244230769230769,0.176231927605903,0.0488779424120724,0.106495888015159
"48","cookies","10","3",12,0.30625,0.14698678048166,0.0424314286392014,0.0933909447563695
"49","cookies","10","4",7,0.607142857142857,0.222070881005314,0.0839349035098682,0.205381310123006
"50","cookies","10","5",8,0.590625,0.149962793004513,0.0530198539295827,0.125372032417798
"51","cookies","10","6",7,0.592857142857143,0.206515882013489,0.0780556665132643,0.190995335440326
"52","cookies","10","7",13,0.630769230769231,0.299679315782208,0.0831160876345166,0.18109439808983
"53","cookies","10","8",12,0.722916666666667,0.0944230887917235,0.0272575978658087,0.0599935684023906
"54","cookies","10","9",11,0.75,0.235053185470863,0.0708712019986064,0.157910878660062
"55","cookies","10","10",10,0.7475,0.328178897689795,0.103779279670312,0.234765040856235
"56","cookies","100","0",15,0.161666666666667,0.165525857568567,0.0427385926486507,0.0916651645731678
"57","cookies","100","1",13,0.451923076923077,0.174541523969924,0.0484091087977837,0.105474387321368
"58","cookies","100","2",14,0.596428571428571,0.169233891080096,0.0452296599037385,0.0977127395985085
"59","cookies","100","3",4,0.3875,0.17618645426555,0.0880932271327749,0.280351965209218
"60","cookies","100","4",9,0.766666666666667,0.105326872164704,0.0351089573882348,0.0809614009199763
"61","cookies","100","5",18,0.75,0.147029408822941,0.0346551640041836,0.073116004868395
"62","cookies","100","6",16,0.7109375,0.192347071288682,0.0480867678221705,0.102494519422004
"63","cookies","100","7",15,0.816666666666667,0.184842275106824,0.0477260702109212,0.102362240055014
"64","cookies","100","8",18,0.720833333333333,0.253250921837937,0.0596918147244498,0.125938720574784
"65","cookies","100","9",15,0.853333333333333,0.139791511425647,0.0360940130461795,0.0774139586949774
"66","cookies","100","10",10,0.86,0.236349552804974,0.0747402910825955,0.169074284822116
"67","M&M's","10","0",20,0.17875,0.283339460718058,0.0633566294873709,0.132606949523302
"68","M&M's","10","1",13,0.109615384615385,0.138269988586062,0.0383491949003744,0.0835557178563448
"69","M&M's","10","2",21,0.123809523809524,0.129295250897943,0.0282145368684823,0.0588544925891892
"70","M&M's","10","3",5,0.255,0.218231528427952,0.0975961064797157,0.270970232121969
"71","M&M's","10","4",12,0.297916666666667,0.17979101925864,0.0519011966834265,0.114233763691219
"72","M&M's","10","5",11,0.352272727272727,0.289278098344514,0.0872206283887529,0.194339670807637
"73","M&M's","10","6",18,0.422222222222222,0.199611550872764,0.047048893741765,0.0992644889362002
"74","M&M's","10","7",10,0.455,0.314200926513946,0.0993590570719259,0.224765802644133
"75","M&M's","10","8",11,0.518181818181818,0.233744226958365,0.0704765361575066,0.157031508365956
"76","M&M's","10","9",14,0.589285714285714,0.271341802209637,0.0725191470413029,0.156668092261447
"77","M&M's","10","10",16,0.5234375,0.304339277506754,0.0760848193766886,0.162170953684441
"78","M&M's","100","0",6,0.154166666666667,0.261923971157026,0.106930013456362,0.274872350275271
"79","M&M's","100","1",14,0.219642857142857,0.127919209565351,0.0341878468128914,0.0738583526865219
"80","M&M's","100","2",16,0.2953125,0.243108129234709,0.0607770323086773,0.129543177894802
"81","M&M's","100","3",8,0.46875,0.310745072366401,0.109864973945293,0.25978938179165
"82","M&M's","100","4",9,0.455555555555556,0.171745532046041,0.0572485106820137,0.132015302367004
"83","M&M's","100","5",17,0.566176470588235,0.123408992426665,0.0299310771133053,0.063451048983896
"84","M&M's","100","6",11,0.495454545454545,0.203045001729352,0.0612203714812114,0.13640748823032
"85","M&M's","100","7",15,0.665,0.155781440302936,0.0402225949294317,0.0862688861581552
"86","M&M's","100","8",11,0.704545454545455,0.325925256350705,0.0982701622741533,0.218959566554037
"87","M&M's","100","9",9,0.805555555555556,0.122332652132527,0.0407775507108422,0.0940332005626997
"88","M&M's","100","10",17,0.741176470588235,0.256774033756851,0.0622768507703184,0.132021025966809
"89","pies","10","0",11,0.0840909090909091,0.133824851612437,0.0403497109475857,0.0899047586287316
"90","pies","10","1",12,0.270833333333333,0.216068521679133,0.062373609577426,0.137283389061264
"91","pies","10","2",17,0.510294117647059,0.221863348907014,0.0538097659998166,0.114071608092867
"92","pies","10","3",13,0.582692307692308,0.186073634445876,0.0516075407697344,0.112443171936672
"93","pies","10","4",14,0.575,0.228498443017756,0.0610687776559807,0.131931073136476
"94","pies","10","5",13,0.759615384615385,0.165686218729631,0.0459530890205712,0.100123179920861
"95","pies","10","6",10,0.7225,0.054581742979376,0.0172602626476733,0.0390454267802125
"96","pies","10","7",12,0.7875,0.199573408685991,0.057611880613974,0.126802894276328
"97","pies","10","8",18,0.736111111111111,0.273353657780945,0.0644300750263511,0.135935575971565
"98","pies","10","9",15,0.766666666666667,0.271514710642422,0.070104796837895,0.150359835017099
"99","pies","10","10",15,0.876666666666667,0.243755341821808,0.0629373586283307,0.134987208958752
"100","pies","100","0",10,0.41,0.285092577556445,0.0901541889086568,0.20394294419598
"101","pies","100","1",11,0.597727272727273,0.236763211208621,0.0713867941580604,0.159059689582321
"102","pies","100","2",15,0.656666666666667,0.323549878395162,0.0835402193794597,0.179175950430798
"103","pies","100","3",18,0.6375,0.297198933178356,0.0700504603372744,0.147793552453976
"104","pies","100","4",13,0.746153846153846,0.209624205883547,0.0581392940685807,0.126674639824419
"105","pies","100","5",19,0.819736842105263,0.218831960418456,0.0502034947937339,0.105473628709282
"106","pies","100","6",13,0.761538461538461,0.242730857599048,0.067321427170055,0.146680789229624
"107","pies","100","7",12,0.833333333333333,0.21488192670451,0.0620310691134172,0.13652946258325
"108","pies","100","8",14,0.7625,0.349415721102881,0.0933852795656812,0.201746630948713
"109","pies","100","9",17,0.869117647058824,0.174894926439041,0.0424182502995763,0.0899226735937654
"110","pies","100","10",14,0.864285714285714,0.273635475818421,0.0731321570985284,0.157992419975174
"111","strawberries","10","0",13,0.103846153846154,0.206873087565721,0.0573762711332121,0.125012155663508
"112","strawberries","10","1",16,0.1578125,0.272598414950148,0.0681496037375371,0.145257441916452
"113","strawberries","10","2",10,0.155,0.101242283656583,0.0320156211871642,0.0724243667899776
"114","strawberries","10","3",12,0.3125,0.19583736295016,0.0565333771083307,0.1244291240653
"115","strawberries","10","4",12,0.339583333333333,0.18903412791121,0.0545694523177815,0.120106554745765
"116","strawberries","10","5",9,0.405555555555556,0.205691584119958,0.0685638613733194,0.15810854785244
"117","strawberries","10","6",6,0.570833333333333,0.263826015901894,0.10770651997184,0.276868423819213
"118","strawberries","10","7",14,0.585714285714286,0.242525630230459,0.0648177011309859,0.140030129907355
"119","strawberries","10","8",15,0.656666666666667,0.251684799094499,0.0649847356924368,0.139378396030995
"120","strawberries","10","9",18,0.670833333333333,0.277362843688234,0.0653750492070448,0.137929297218643
"121","strawberries","10","10",15,0.658333333333333,0.340386684871919,0.0878874641186463,0.188499863076526
"122","strawberries","100","0",18,0.0763888888888889,0.091744619261288,0.0216244141390116,0.0456235258120056
"123","strawberries","100","1",15,0.335,0.220955716313085,0.0570505206353273,0.12236119719743
"124","strawberries","100","2",13,0.371153846153846,0.160677651502341,0.0445639624086787,0.0970965330368373
"125","strawberries","100","3",23,0.459782608695652,0.186434720849792,0.0388743265778887,0.0806204189227891
"126","strawberries","100","4",23,0.618478260869565,0.187722200354484,0.0391427846124199,0.0811771668104658
"127","strawberries","100","5",12,0.7,0.0959403223600247,0.0276955854703499,0.0609575726202897
"128","strawberries","100","6",13,0.653846153846154,0.253074049161455,0.0701901123646861,0.152931117335962
"129","strawberries","100","7",12,0.625,0.14420629162923,0.0416287706454868,0.091624306423575
"130","strawberries","100","8",8,0.728125,0.177501257540817,0.0627561714381257,0.148394764919707
"131","strawberries","100","9",11,0.720454545454545,0.293431887713781,0.0884730430065733,0.197130224476399
"132","strawberries","100","10",12,0.870833333333333,0.130485689451047,0.037667973964978,0.0829066517076349
