"","food","totalQuant","eatenQuant","quantifier","variable","N","value","sd","se","ci"
"1","cookies",10,"0","none","Comp.1",13,0.538097286923255,0.253249983915845,0.0702389078860777,0.153037433644001
"2","cookies",10,"0","none","Comp.2",13,0.40870078141208,0.297380148239054,0.0824784132908455,0.17970502504869
"3","cookies",10,"0","none","Comp.3",13,0.56395374347361,0.257732624172961,0.0714821686011924,0.155746266040714
"4","cookies",10,"0","none","Comp.4",13,0.477931971133031,0.304102403371532,0.0843428314113762,0.183767243169567
"5","cookies",10,"1","all","Comp.1",9,0.676900676610525,0.262883719000233,0.087627906333411,0.202070314364129
"6","cookies",10,"1","all","Comp.2",9,0.418873201505489,0.263382662933348,0.0877942209777827,0.202453836621795
"7","cookies",10,"1","all","Comp.3",9,0.567494340708345,0.309191021391745,0.103063673797248,0.237665257965788
"8","cookies",10,"1","all","Comp.4",9,0.3284340038905,0.266951270053748,0.0889837566845827,0.205196910880649
"9","cookies",10,"1","some","Comp.1",8,0.202469760648427,0.149468683583702,0.0528451598685312,0.124958946604427
"10","cookies",10,"1","some","Comp.2",8,0.459070111075577,0.332959115372399,0.117718824168849,0.278360786498647
"11","cookies",10,"1","some","Comp.3",8,0.433535006314555,0.298696736615966,0.105605243989721,0.249716721033467
"12","cookies",10,"1","some","Comp.4",8,0.648068813650022,0.326103348623891,0.115294944589797,0.27262922206308
"13","cookies",10,"2","all","Comp.1",9,0.561285167407886,0.289242626423685,0.0964142088078951,0.222331564203444
"14","cookies",10,"2","all","Comp.2",9,0.388334744716769,0.338771363927994,0.112923787975998,0.26040272203557
"15","cookies",10,"2","all","Comp.3",9,0.431721941845286,0.260520149551268,0.0868400498504226,0.20025351405641
"16","cookies",10,"2","all","Comp.4",9,0.318291449803568,0.228101913325208,0.0760339711084027,0.175334651791971
"17","cookies",10,"2","some","Comp.1",6,0.167664536266339,0.158211057256407,0.0645893936574084,0.166032322110497
"18","cookies",10,"2","some","Comp.2",6,0.608618785980647,0.117491909705951,0.047965871280789,0.123300197444866
"19","cookies",10,"2","some","Comp.3",6,0.365471727832799,0.224416395496003,0.0916176098133055,0.235510563610498
"20","cookies",10,"2","some","Comp.4",6,0.335497732576821,0.187642116641985,0.0766045733381113,0.196918324749619
"21","cookies",10,"3","all","Comp.1",4,0.585496658865481,0.338077477979441,0.16903873898972,0.537956710347653
"22","cookies",10,"3","all","Comp.2",4,0.444835865796684,0.191312081088242,0.0956560405441212,0.304420212807707
"23","cookies",10,"3","all","Comp.3",4,0.566785944291463,0.13690086049962,0.0684504302498101,0.217839818843588
"24","cookies",10,"3","all","Comp.4",4,0.349221177302065,0.165343803912311,0.0826719019561553,0.263098888931143
"25","cookies",10,"3","some","Comp.1",10,0.264766217234779,0.224621769493788,0.0710316403657696,0.160684734038732
"26","cookies",10,"3","some","Comp.2",10,0.52031327964411,0.306126837228582,0.0968058058545945,0.218989947114423
"27","cookies",10,"3","some","Comp.3",10,0.406344354391761,0.12169600265212,0.038483655051859,0.0870560759262182
"28","cookies",10,"3","some","Comp.4",10,0.46335545015905,0.232482182309716,0.0735173211505207,0.166307734630386
"29","cookies",10,"4","all","Comp.1",6,0.59367398366113,0.2993100567594,0.122192818990667,0.314106640942604
"30","cookies",10,"4","all","Comp.2",6,0.366268016976858,0.220929325585802,0.0901940194837377,0.231851108167924
"31","cookies",10,"4","all","Comp.3",6,0.554085834601232,0.349119960421142,0.142527627008743,0.366378929065022
"32","cookies",10,"4","all","Comp.4",6,0.60015442504191,0.255473300211777,0.104296538070619,0.268102786284085
"33","cookies",10,"4","some","Comp.1",6,0.271989546364796,0.189396456272087,0.0773207794929933,0.198759391281929
"34","cookies",10,"4","some","Comp.2",6,0.746248413992694,0.21802869860566,0.0890098434778217,0.22880708683692
"35","cookies",10,"4","some","Comp.3",6,0.309483719528959,0.231330979923962,0.0944404770852878,0.242766974944268
"36","cookies",10,"4","some","Comp.4",6,0.549979857391321,0.264966721082774,0.108172210911858,0.278065520490642
"37","cookies",10,"5","all","Comp.1",9,0.512466556653217,0.307019819905846,0.102339939968615,0.235996324764173
"38","cookies",10,"5","all","Comp.2",9,0.445778023550178,0.367499613969164,0.122499871323055,0.282485209832942
"39","cookies",10,"5","all","Comp.3",9,0.413114321577817,0.2620615630325,0.0873538543441667,0.201438349343671
"40","cookies",10,"5","all","Comp.4",9,0.306528714103555,0.206194132445899,0.0687313774819662,0.158494840691693
"41","cookies",10,"5","some","Comp.1",6,0.235541944781978,0.141582065457497,0.0578006361833659,0.148581265461184
"42","cookies",10,"5","some","Comp.2",6,0.518842561604422,0.309846566207881,0.126494330960465,0.32516402947794
"43","cookies",10,"5","some","Comp.3",6,0.382975144715822,0.243732315771488,0.0995033012445085,0.255781378764982
"44","cookies",10,"5","some","Comp.4",6,0.605357987168631,0.245571971265434,0.100254337454954,0.257711978805459
"45","cookies",10,"6","all","Comp.1",3,0.495114666035695,0.145924235274331,0.0842493965169251,0.362495895903293
"46","cookies",10,"6","all","Comp.2",3,0.6470350606378,0.31041070977085,0.179215706845543,0.771102950272955
"47","cookies",10,"6","all","Comp.3",3,0.512044355808973,0.479943958083497,0.277095773395441,1.19224688580193
"48","cookies",10,"6","all","Comp.4",3,0.495587015357754,0.432773112629402,0.249861673074618,1.07506800971427
"49","cookies",10,"6","some","Comp.1",7,0.280186013699462,0.188169565911909,0.0711214108162696,0.17402782299648
"50","cookies",10,"6","some","Comp.2",7,0.710353641943707,0.219632328595469,0.0830132173333759,0.20312602529471
"51","cookies",10,"6","some","Comp.3",7,0.600674396086249,0.231184904212262,0.0873796804882764,0.213810375736024
"52","cookies",10,"6","some","Comp.4",7,0.324608061522572,0.21055167279631,0.0795810520496686,0.194727819386919
"53","cookies",10,"7","all","Comp.1",4,0.556645461471329,0.261902763107787,0.130951381553893,0.416745740397985
"54","cookies",10,"7","all","Comp.2",4,0.480279058799093,0.403051612906635,0.201525806453318,0.641345058166681
"55","cookies",10,"7","all","Comp.3",4,0.528824599303712,0.139605272443175,0.0698026362215876,0.222143141742454
"56","cookies",10,"7","all","Comp.4",4,0.395629287557916,0.12078472044218,0.0603923602210901,0.192195443652971
"57","cookies",10,"7","some","Comp.1",7,0.358062823906858,0.216260200071601,0.0817386725529328,0.200007326566629
"58","cookies",10,"7","some","Comp.2",7,0.657507132577788,0.173385893607218,0.0655337079044861,0.16035520652096
"59","cookies",10,"7","some","Comp.3",7,0.472575542797316,0.248993522372653,0.0941107054662908,0.230280600525081
"60","cookies",10,"7","some","Comp.4",7,0.42742002781796,0.30342921390262,0.114685462928308,0.280625218393323
"61","cookies",10,"8","all","Comp.1",4,0.713697609314297,0.277926664423664,0.138963332211832,0.442243343167458
"62","cookies",10,"8","all","Comp.2",4,0.380012578086382,0.315403878415192,0.157701939207596,0.50187795376729
"63","cookies",10,"8","all","Comp.3",4,0.475434834379635,0.243296662577832,0.121648331288916,0.387139282454339
"64","cookies",10,"8","all","Comp.4",4,0.347080950927653,0.232532569070032,0.116266284535016,0.370011207647526
"65","cookies",10,"8","some","Comp.1",3,0.532451544677411,0.401553511706966,0.231837028078056,0.997514221717051
"66","cookies",10,"8","some","Comp.2",3,0.628621547561521,0.109877004190175,0.063437517946947,0.272949609762962
"67","cookies",10,"8","some","Comp.3",3,0.706475807666475,0.0155732387701847,0.00899121359612047,0.0386860697231082
"68","cookies",10,"8","some","Comp.4",3,0.243131820865378,0.231883040496005,0.133877735850877,0.576029405611454
"69","cookies",10,"9","all","Comp.1",5,0.75455729298551,0.150992106024506,0.06752572262733,0.187481462063594
"70","cookies",10,"9","all","Comp.2",5,0.428769927991195,0.262901873171863,0.117573291964863,0.326435790977834
"71","cookies",10,"9","all","Comp.3",5,0.462716552804002,0.200275057367901,0.0895657284944592,0.248674328471916
"72","cookies",10,"9","all","Comp.4",5,0.368402394297685,0.305774814728808,0.136746654308204,0.379669579006187
"73","cookies",10,"9","some","Comp.1",11,0.561442975990781,0.263111584352234,0.0793311275720278,0.176760767515115
"74","cookies",10,"9","some","Comp.2",11,0.559528167874789,0.252221520563776,0.0760476497966323,0.169444723114122
"75","cookies",10,"9","some","Comp.3",11,0.498432550206305,0.266822771434961,0.0804500925793203,0.179253976921876
"76","cookies",10,"9","some","Comp.4",11,0.534038898631976,0.248215667731352,0.0748398397229473,0.166753554563125
"77","cookies",10,"10","all","Comp.1",3,0.879990053008153,0.0829727125675219,0.0479043179362522,0.206115644335202
"78","cookies",10,"10","all","Comp.2",3,0.604448188842757,0.269712939875923,0.15571883844129,0.670004085292831
"79","cookies",10,"10","all","Comp.3",3,0.408653626389668,0.14801196638405,0.0854547486351171,0.367682107484941
"80","cookies",10,"10","all","Comp.4",3,0.646088523456756,0.189001447863198,0.109120036801047,0.469505624212385
"81","cookies",10,"10","some","Comp.1",6,0.420967946641545,0.329366037754616,0.134463121850178,0.34564845859102
"82","cookies",10,"10","some","Comp.2",6,0.530780921845657,0.331601107230189,0.135375585142649,0.34799402015633
"83","cookies",10,"10","some","Comp.3",6,0.497067817426649,0.164201596163329,0.0670350209251168,0.172319007141605
"84","cookies",10,"10","some","Comp.4",6,0.430519920449582,0.36719749948513,0.149907751427409,0.385350142840382
"85","M&M's",10,"0","none","Comp.1",10,0.600210235088582,0.278966105913214,0.0882168284673523,0.199560330396762
"86","M&M's",10,"0","none","Comp.2",10,0.567529754391986,0.251830379137111,0.079635758209702,0.180148600848943
"87","M&M's",10,"0","none","Comp.3",10,0.660286524961099,0.239912770258586,0.0758670793777836,0.171623257035033
"88","M&M's",10,"0","none","Comp.4",10,0.709659674112341,0.281330738946096,0.0889645910887902,0.20125188696692
"89","M&M's",10,"1","all","Comp.1",7,0.615563012567682,0.301567133185339,0.1139816625713,0.278903080958921
"90","M&M's",10,"1","all","Comp.2",7,0.215022611119039,0.347956806200247,0.13151531088545,0.321806372812622
"91","M&M's",10,"1","all","Comp.3",7,0.32232749505738,0.244228961150739,0.09230987059493,0.225874116336393
"92","M&M's",10,"1","all","Comp.4",7,0.470286728728093,0.37576684511716,0.142026517589047,0.347526369065489
"93","M&M's",10,"1","some","Comp.1",5,0.259268829444744,0.269321383567923,0.120444184290434,0.334406665922717
"94","M&M's",10,"1","some","Comp.2",5,0.452629803117988,0.27137018675232,0.121360436929,0.336950591076188
"95","M&M's",10,"1","some","Comp.3",5,0.694382239310557,0.124981595489235,0.0558934686900619,0.155185147557049
"96","M&M's",10,"1","some","Comp.4",5,0.534313832690478,0.178739259390894,0.0799346268492016,0.221934103451278
"97","M&M's",10,"2","all","Comp.1",8,0.511186234883336,0.311270566305213,0.110050764109097,0.260228705718686
"98","M&M's",10,"2","all","Comp.2",8,0.287059514408692,0.219610628695771,0.0776440823857102,0.183599080201919
"99","M&M's",10,"2","all","Comp.3",8,0.564358001480819,0.315839443118026,0.11166610599747,0.264048382322547
"100","M&M's",10,"2","all","Comp.4",8,0.455919578756017,0.222634961640826,0.0787133455527175,0.186127485817959
"101","M&M's",10,"2","some","Comp.1",6,0.196326811889771,0.193999543784007,0.0791999821005902,0.203590035370498
"102","M&M's",10,"2","some","Comp.2",6,0.675107916213752,0.276899582418355,0.113043781152451,0.290588290462137
"103","M&M's",10,"2","some","Comp.3",6,0.485840126840341,0.367031433826063,0.149839955405991,0.385175867619195
"104","M&M's",10,"2","some","Comp.4",6,0.67643325355923,0.122917404226126,0.0501808201435714,0.128993904758397
"105","M&M's",10,"3","all","Comp.1",11,0.487373251884186,0.26084379563431,0.0786473635464681,0.175237246324175
"106","M&M's",10,"3","all","Comp.2",11,0.522860105963958,0.299654398524504,0.0903492006077643,0.201310564120061
"107","M&M's",10,"3","all","Comp.3",11,0.64026851292575,0.284368923083284,0.0857404563549716,0.191041641991546
"108","M&M's",10,"3","all","Comp.4",11,0.569436201524686,0.286341564874649,0.0863352302338565,0.192366880779236
"109","M&M's",10,"3","some","Comp.1",7,0.179803909718994,0.180204742493376,0.0681109905302722,0.166661589921746
"110","M&M's",10,"3","some","Comp.2",7,0.621982978033163,0.116664613044542,0.0440950789882059,0.107896771353415
"111","M&M's",10,"3","some","Comp.3",7,0.602792873978538,0.326901060465408,0.123556987044966,0.302333055892092
"112","M&M's",10,"3","some","Comp.4",7,0.446101505891595,0.323798657719543,0.122384389026062,0.299463811903008
"113","M&M's",10,"4","all","Comp.1",11,0.610145937652987,0.293242142109962,0.0884158325544382,0.197002751645257
"114","M&M's",10,"4","all","Comp.2",11,0.324248331397614,0.200216945696436,0.0603676805041855,0.13450757433567
"115","M&M's",10,"4","all","Comp.3",11,0.484048341398938,0.230488694986984,0.0694949563354995,0.154844412228216
"116","M&M's",10,"4","all","Comp.4",11,0.414878731698082,0.229003435194225,0.0690471336583374,0.153846601122431
"117","M&M's",10,"4","some","Comp.1",8,0.322266382639085,0.253129679634853,0.0894948564946915,0.211621708060163
"118","M&M's",10,"4","some","Comp.2",8,0.470280579396909,0.241949504993049,0.0855420678426567,0.202274848152141
"119","M&M's",10,"4","some","Comp.3",8,0.492104532273609,0.325992998269313,0.115255929847783,0.272536966857944
"120","M&M's",10,"4","some","Comp.4",8,0.518390382671537,0.29805281756462,0.10537758422585,0.249178391234706
"121","M&M's",10,"5","all","Comp.1",5,0.636470807399568,0.280923991746813,0.125633028411293,0.348813206783709
"122","M&M's",10,"5","all","Comp.2",5,0.405356143566269,0.269298079513076,0.120433762400276,0.334377730116801
"123","M&M's",10,"5","all","Comp.3",5,0.631164313916501,0.320166060365207,0.143182615012981,0.39753867060221
"124","M&M's",10,"5","all","Comp.4",5,0.699475928826421,0.144397611277358,0.0645765749209524,0.179293315349717
"125","M&M's",10,"5","some","Comp.1",12,0.253096794781084,0.217699723175838,0.0628444968890386,0.138319805046199
"126","M&M's",10,"5","some","Comp.2",12,0.667364795302635,0.249440817340427,0.072007361519188,0.158487134121086
"127","M&M's",10,"5","some","Comp.3",12,0.591183220837053,0.282256225098109,0.0814803537704204,0.179337049487712
"128","M&M's",10,"5","some","Comp.4",12,0.506082093704028,0.258418030893749,0.0745988598499794,0.164190983489561
"129","M&M's",10,"6","all","Comp.1",4,0.8437392265213,0.153083718251225,0.0765418591256125,0.243590356773852
"130","M&M's",10,"6","all","Comp.2",4,0.386003859275607,0.112060291756577,0.0560301458782887,0.178312930734867
"131","M&M's",10,"6","all","Comp.3",4,0.606808058519864,0.155107015348033,0.0775535076740165,0.246809873958966
"132","M&M's",10,"6","all","Comp.4",4,0.521398351202217,0.117758825978778,0.0588794129893892,0.187380570325355
"133","M&M's",10,"6","some","Comp.1",5,0.29583368164795,0.143786696364088,0.0643033654660446,0.178534764295944
"134","M&M's",10,"6","some","Comp.2",5,0.545628325809577,0.345884411705309,0.154684211386119,0.42947222155437
"135","M&M's",10,"6","some","Comp.3",5,0.481330273601444,0.341053779055865,0.152523886790422,0.423474198905008
"136","M&M's",10,"6","some","Comp.4",5,0.415983036126427,0.197485599433316,0.0883182449820377,0.245210758980038
"137","M&M's",10,"7","all","Comp.1",6,0.711398745220696,0.189305864722765,0.0772837956478523,0.198664321281398
"138","M&M's",10,"7","all","Comp.2",6,0.54089014768616,0.216949775608629,0.0885693750087415,0.227674826591132
"139","M&M's",10,"7","all","Comp.3",6,0.581032447388427,0.320266708702271,0.13074833632019,0.336099298384348
"140","M&M's",10,"7","all","Comp.4",6,0.509883408435131,0.277852348915929,0.113432746446297,0.291588157581191
"141","M&M's",10,"7","some","Comp.1",7,0.29027084180183,0.16176907562173,0.0611429634165571,0.149611441798097
"142","M&M's",10,"7","some","Comp.2",7,0.515649877857091,0.333156968122828,0.125921497885897,0.308118805490927
"143","M&M's",10,"7","some","Comp.3",7,0.556613169025864,0.345539499813501,0.130601654950882,0.319570737278459
"144","M&M's",10,"7","some","Comp.4",7,0.589850273574797,0.296647913377755,0.11212237224911,0.274353561434835
"145","M&M's",10,"8","all","Comp.1",6,0.489866523063987,0.231954152723881,0.0946948863155183,0.243420954690317
"146","M&M's",10,"8","all","Comp.2",6,0.589730690424933,0.290288631773278,0.118509837662534,0.304639236039519
"147","M&M's",10,"8","all","Comp.3",6,0.524146377661273,0.227543754003788,0.0928943485777764,0.2387925250873
"148","M&M's",10,"8","all","Comp.4",6,0.581961074886571,0.184460876193014,0.0753058373632642,0.193579817643389
"149","M&M's",10,"8","some","Comp.1",5,0.589556010715698,0.191112495342208,0.0854681061869577,0.237297505073304
"150","M&M's",10,"8","some","Comp.2",5,0.644356289427564,0.183129511364311,0.0818980072193841,0.227385321269712
"151","M&M's",10,"8","some","Comp.3",5,0.341777423149125,0.276827728402872,0.123801123753134,0.343727024062375
"152","M&M's",10,"8","some","Comp.4",5,0.609520499075521,0.355448552908123,0.158961425361299,0.441347671359642
"153","M&M's",10,"9","all","Comp.1",9,0.556946782607193,0.29972622171837,0.0999087405727901,0.230389968903894
"154","M&M's",10,"9","all","Comp.2",9,0.665177092881862,0.17910641216621,0.0597021373887366,0.137673375698954
"155","M&M's",10,"9","all","Comp.3",9,0.582027131111043,0.301864706732565,0.100621568910855,0.232033753999162
"156","M&M's",10,"9","all","Comp.4",9,0.361037971039414,0.253966455383833,0.0846554851279444,0.195215898772755
"157","M&M's",10,"9","some","Comp.1",4,0.415497438600144,0.12119663556378,0.0605983177818898,0.192850892531383
"158","M&M's",10,"9","some","Comp.2",4,0.677063337316112,0.195258075939761,0.0976290379698805,0.310699171175649
"159","M&M's",10,"9","some","Comp.3",4,0.41349830915844,0.361090367579217,0.180545183789609,0.574575353088008
"160","M&M's",10,"9","some","Comp.4",4,0.830669013411617,0.127748940627264,0.063874470313632,0.203277072051572
"161","M&M's",10,"10","all","Comp.1",9,0.79013057788118,0.161882580431238,0.053960860143746,0.124433966630652
"162","M&M's",10,"10","all","Comp.2",9,0.528425909127217,0.214418870613816,0.0714729568712721,0.164816934100422
"163","M&M's",10,"10","all","Comp.3",9,0.691921791046045,0.145139776799883,0.0483799255999609,0.11156430849438
"164","M&M's",10,"10","all","Comp.4",9,0.414806838803862,0.252717570626557,0.0842391902088522,0.194255920967863
"165","M&M's",10,"10","some","Comp.1",5,0.476517408274365,0.277813988553643,0.124242192701259,0.344951627784451
"166","M&M's",10,"10","some","Comp.2",5,0.444226310801689,0.291282703903826,0.13026558531978,0.361675246736828
"167","M&M's",10,"10","some","Comp.3",5,0.373115226077835,0.365951305182266,0.163658398968463,0.454388560740498
"168","M&M's",10,"10","some","Comp.4",5,0.707201040684457,0.384511626677886,0.171958827078155,0.477434243736697
"169","pies",10,"0","none","Comp.1",16,0.635872712083764,0.259866933298602,0.0649667333246505,0.138473314221329
"170","pies",10,"0","none","Comp.2",16,0.482323207038025,0.250359809459363,0.0625899523648407,0.133407325524648
"171","pies",10,"0","none","Comp.3",16,0.556543132664029,0.221042143121351,0.0552605357803377,0.11778504387639
"172","pies",10,"0","none","Comp.4",16,0.582474047250252,0.305535436371271,0.0763838590928178,0.162808341751488
"173","pies",10,"1","all","Comp.1",6,0.669919063739539,0.255329407190299,0.104237793990591,0.267951779819014
"174","pies",10,"1","all","Comp.2",6,0.543074933669767,0.324481323151248,0.132468945463949,0.340522264995525
"175","pies",10,"1","all","Comp.3",6,0.600033639951036,0.187420386758253,0.0765140524921328,0.1966856335072
"176","pies",10,"1","all","Comp.4",6,0.359634393766803,0.334657091598354,0.136623185536636,0.351201079067247
"177","pies",10,"1","some","Comp.1",4,0.22639077308077,0.226730875141094,0.113365437570547,0.360779417943259
"178","pies",10,"1","some","Comp.2",4,0.616076484777182,0.278653623688602,0.139326811844301,0.443400097580854
"179","pies",10,"1","some","Comp.3",4,0.538526417067906,0.387845352471602,0.193922676235801,0.617148504497354
"180","pies",10,"1","some","Comp.4",4,0.395832662248491,0.252251975707285,0.126125987853643,0.401389184045083
"181","pies",10,"2","all","Comp.1",8,0.503465327632786,0.254643624873843,0.0900301169671088,0.21288739795416
"182","pies",10,"2","all","Comp.2",8,0.387324469304083,0.321404124858579,0.113633518094414,0.26870057267986
"183","pies",10,"2","all","Comp.3",8,0.495981324659856,0.157902141438949,0.0558268374876793,0.132009493813096
"184","pies",10,"2","all","Comp.4",8,0.435782211511517,0.260445064604889,0.0920812356543427,0.217737522944889
"185","pies",10,"2","some","Comp.1",7,0.204637331209173,0.187532658470775,0.0708806824309259,0.173438781857476
"186","pies",10,"2","some","Comp.2",7,0.457329889184203,0.341252769485163,0.128981423181399,0.315606172960109
"187","pies",10,"2","some","Comp.3",7,0.390802048176154,0.313805393354094,0.118607290126533,0.290221583842804
"188","pies",10,"2","some","Comp.4",7,0.581641884279134,0.293232474202071,0.110831457580978,0.271194807034565
"189","pies",10,"3","all","Comp.1",5,0.724542714838469,0.34378583902907,0.15374570115416,0.42686649941467
"190","pies",10,"3","all","Comp.2",5,0.467381653323493,0.211610621672734,0.0946351469642446,0.262749290568551
"191","pies",10,"3","all","Comp.3",5,0.50952158559425,0.290676066238749,0.129994288708415,0.360922006588147
"192","pies",10,"3","all","Comp.4",5,0.351678359001072,0.18202178531718,0.0814026170710175,0.226009897717117
"193","pies",10,"3","some","Comp.1",5,0.429221997554318,0.306403391977732,0.137027762599744,0.380450060746266
"194","pies",10,"3","some","Comp.2",5,0.759859050314422,0.148167331826088,0.06626244520158,0.183974041638364
"195","pies",10,"3","some","Comp.3",5,0.5677617256662,0.361443246942556,0.16164233403436,0.448791067122445
"196","pies",10,"3","some","Comp.4",5,0.461792870710163,0.264241440594605,0.118172364728402,0.32809908361982
"197","pies",10,"4","all","Comp.1",8,0.650587858805983,0.206781453775482,0.0731082840941281,0.17287362156131
"198","pies",10,"4","all","Comp.2",8,0.345928386974545,0.235463148524361,0.0832487945205554,0.19685211843917
"199","pies",10,"4","all","Comp.3",8,0.584224435881492,0.211452410716665,0.0747597167579983,0.17677863928817
"200","pies",10,"4","all","Comp.4",8,0.368880715556694,0.239280757922484,0.0845985232672227,0.200043719766611
"201","pies",10,"4","some","Comp.1",7,0.398161233783857,0.217205856512566,0.08209609709129,0.200881912905425
"202","pies",10,"4","some","Comp.2",7,0.655712135850942,0.214593369538615,0.0811086698289371,0.198465765435031
"203","pies",10,"4","some","Comp.3",7,0.46847213010544,0.207961356339799,0.0786020044552561,0.192332176225316
"204","pies",10,"4","some","Comp.4",7,0.539455320585517,0.262353241056075,0.0991602044980223,0.242636279548169
"205","pies",10,"5","all","Comp.1",4,0.70200816395649,0.34514518827782,0.17257259413891,0.549203014610599
"206","pies",10,"5","all","Comp.2",4,0.397989723353741,0.230585194082593,0.115292597041297,0.366912499480637
"207","pies",10,"5","all","Comp.3",4,0.554681349386057,0.204501607974947,0.102250803987474,0.325407693362224
"208","pies",10,"5","all","Comp.4",4,0.570368181633785,0.0561143614555239,0.028057180727762,0.0892904711437433
"209","pies",10,"5","some","Comp.1",7,0.234890997202905,0.191692361135978,0.0724529022566545,0.177285865181656
"210","pies",10,"5","some","Comp.2",7,0.344766553800598,0.221787023881274,0.0838276156015708,0.205118786068708
"211","pies",10,"5","some","Comp.3",7,0.519044990385442,0.338666415490906,0.128003873256944,0.313214194464875
"212","pies",10,"5","some","Comp.4",7,0.448254348499242,0.333736504513317,0.126140542052318,0.308654787257666
"213","pies",10,"6","all","Comp.1",5,0.759386887257678,0.166199790393689,0.0743268058333008,0.206364296240855
"214","pies",10,"6","all","Comp.2",5,0.389893214641962,0.300657547377051,0.13445814277669,0.373315652366327
"215","pies",10,"6","all","Comp.3",5,0.510726579939161,0.277872074921834,0.124268169714827,0.34502375153662
"216","pies",10,"6","all","Comp.4",5,0.432778161045186,0.232615486265936,0.10402880798196,0.288830274721075
"217","pies",10,"6","some","Comp.1",9,0.381094590871007,0.088880239935308,0.0296267466451027,0.0683194002762529
"218","pies",10,"6","some","Comp.2",9,0.704759568575986,0.285924919686551,0.0953083065621836,0.219781349051702
"219","pies",10,"6","some","Comp.3",9,0.517489693060379,0.345256646688538,0.115085548896179,0.26538775165683
"220","pies",10,"6","some","Comp.4",9,0.603629054510574,0.330338070380701,0.1101126901269,0.253920318771087
"221","pies",10,"7","all","Comp.1",8,0.816739901045088,0.115588612747437,0.0408667459508291,0.0966344985590117
"222","pies",10,"7","all","Comp.2",8,0.384648286959056,0.196740006689906,0.0695580964305596,0.164478761714331
"223","pies",10,"7","all","Comp.3",8,0.610380849774342,0.158257363972681,0.0559524276188953,0.13230646728313
"224","pies",10,"7","all","Comp.4",8,0.302281589350946,0.16011490018148,0.0566091658436657,0.13385940641637
"225","pies",10,"7","some","Comp.1",8,0.42840929168276,0.25362976529683,0.0896716634760706,0.212039790136184
"226","pies",10,"7","some","Comp.2",8,0.64616938024905,0.312984024199039,0.110656562957098,0.261661192366257
"227","pies",10,"7","some","Comp.3",8,0.317763951671008,0.282829342552326,0.0999952730186414,0.236451247624521
"228","pies",10,"7","some","Comp.4",8,0.666906769629984,0.295069932248117,0.104322975008449,0.246684636703288
"229","pies",10,"8","all","Comp.1",11,0.747336789502737,0.282235043554013,0.0850970674689342,0.18960808221763
"230","pies",10,"8","all","Comp.2",11,0.368968454177779,0.222262348933301,0.0670146196758917,0.149317877750938
"231","pies",10,"8","all","Comp.3",11,0.603651806688071,0.202130919286143,0.0609447652547043,0.13579339928919
"232","pies",10,"8","all","Comp.4",11,0.443715701157724,0.256322710797214,0.0772842051782851,0.172199940202616
"233","pies",10,"8","some","Comp.1",7,0.41706911075292,0.28396041207197,0.107326947504265,0.2626195797954
"234","pies",10,"8","some","Comp.2",7,0.653617485733163,0.199459997583325,0.075388792873003,0.184469730724464
"235","pies",10,"8","some","Comp.3",7,0.542555348213812,0.131803979729756,0.0498172217390761,0.121898350264462
"236","pies",10,"8","some","Comp.4",7,0.422479561512783,0.226374914098413,0.0855616751097158,0.209361876829779
"237","pies",10,"9","all","Comp.1",7,0.745373528196222,0.253989117105551,0.0959988627968784,0.234900755074122
"238","pies",10,"9","all","Comp.2",7,0.27112274200917,0.2376913438479,0.0898388835163267,0.219827828769732
"239","pies",10,"9","all","Comp.3",7,0.480031039864572,0.291384227240933,0.11013288589232,0.269485463690715
"240","pies",10,"9","all","Comp.4",7,0.515013402790169,0.339954680342795,0.128490791602785,0.314405640735852
"241","pies",10,"9","some","Comp.1",7,0.343389547122223,0.280957494880597,0.106191951490537,0.259842344598408
"242","pies",10,"9","some","Comp.2",7,0.690908472063467,0.290147475104634,0.109665437522881,0.268341658735735
"243","pies",10,"9","some","Comp.3",7,0.422653058919114,0.341587512817719,0.129107944268682,0.315915758908001
"244","pies",10,"9","some","Comp.4",7,0.697550230024535,0.342949559759361,0.129622749623194,0.317175442230989
"245","pies",10,"10","all","Comp.1",8,0.846695687813428,0.178406489542451,0.063076219281577,0.149151557812001
"246","pies",10,"10","all","Comp.2",8,0.571240106891018,0.256549162802532,0.0907038263627009,0.214480467529503
"247","pies",10,"10","all","Comp.3",8,0.586670129085534,0.123446905327441,0.0436450719367636,0.103204195564183
"248","pies",10,"10","all","Comp.4",8,0.43697233238192,0.205303706355251,0.0725858214832649,0.171638193801113
"249","pies",10,"10","some","Comp.1",4,0.352783398301805,0.177734471034865,0.0888672355174327,0.282815205333231
"250","pies",10,"10","some","Comp.2",4,0.690563083447074,0.361807748483685,0.180903874241843,0.57571686619246
"251","pies",10,"10","some","Comp.3",4,0.698003314670282,0.243440014619686,0.121720007309843,0.387367387542316
"252","pies",10,"10","some","Comp.4",4,0.330412917599239,0.273001100176358,0.136500550088179,0.434405671297319
