"","food","quantifier","eatenQuant","N","stateProb","sd","se","ci","type"
"1","M&M's","all","0",20,0.0461572908851025,0.0580735364556309,0.0129856375208603,0.0271792516929876,"human"
"2","M&M's","all","1",20,0.06008732880824,0.0563613640819323,0.0126027841391816,0.0263779303558225,"human"
"3","M&M's","all","2",20,0.058937832145265,0.0542226379042032,0.0121245504273155,0.0253769756932579,"human"
"4","M&M's","all","3",20,0.060844561404295,0.056304491604604,0.0125900670666461,0.0263513132171041,"human"
"5","M&M's","all","4",20,0.060141304094905,0.0525341883814664,0.0117470016363739,0.0245867569921042,"human"
"6","M&M's","all","5",20,0.06441373271623,0.0464583827151251,0.0103884101875721,0.0217431924096488,"human"
"7","M&M's","all","6",20,0.059308140359105,0.0437877262138567,0.00979123323943331,0.0204932866924561,"human"
"8","M&M's","all","7",20,0.064849249933885,0.0497641649878773,0.0111276055756409,0.0232903461377844,"human"
"9","M&M's","all","8",20,0.07010980730695,0.0607697999124644,0.0135885403583331,0.0284411418342893,"human"
"10","M&M's","all","9",20,0.11248135029161,0.113716428547562,0.0254277664390846,0.0532209268068804,"human"
"11","M&M's","all","10",20,0.342669402054165,0.352793680395732,0.0788870651397191,0.165112524919107,"human"
"12","M&M's","some","0",20,0.0306386440528855,0.0471255198765722,0.0105375865919033,0.022055422212264,"human"
"13","M&M's","some","1",20,0.10323357539966,0.0882072711640537,0.0197237454432581,0.0412822736557655,"human"
"14","M&M's","some","2",20,0.11213207728106,0.0766848202839688,0.0171472470997309,0.0358896006466199,"human"
"15","M&M's","some","3",20,0.1221388513676,0.0585865981551227,0.0131003616045318,0.0274193719597321,"human"
"16","M&M's","some","4",20,0.128981956213015,0.0412408358617526,0.00922173124357899,0.0193013053160995,"human"
"17","M&M's","some","5",20,0.11822646484487,0.0488015595580688,0.0109123604579846,0.0228398329289359,"human"
"18","M&M's","some","6",20,0.10205782778763,0.0524707794587195,0.0117328229702096,0.0245570807027631,"human"
"19","M&M's","some","7",20,0.09712377023803,0.0675361765437114,0.0151015481692165,0.031607903576976,"human"
"20","M&M's","some","8",20,0.075201427517575,0.0484989464310761,0.0108446941057007,0.0226982056259316,"human"
"21","M&M's","some","9",20,0.067590621253855,0.0497765194290312,0.0111303681126653,0.0232961281942276,"human"
"22","M&M's","some","10",20,0.042674784044108,0.0542335918616241,0.0121269998066571,0.0253821023031382,"human"
"23","cookies","all","0",20,0.046489142735117,0.0587604329202705,0.0131392322397041,0.0275007291341579,"human"
"24","cookies","all","1",20,0.061393048727115,0.0692317306578182,0.0154806855950838,0.0324014473292426,"human"
"25","cookies","all","2",20,0.06165141731137,0.0690089953940997,0.0154308804760177,0.0322972040170046,"human"
"26","cookies","all","3",20,0.079443394932275,0.0685687605863851,0.0153324409804065,0.0320911677847866,"human"
"27","cookies","all","4",20,0.0726352264652335,0.0507154581543392,0.0113403211943148,0.0237355650444173,"human"
"28","cookies","all","5",20,0.0685316761047135,0.0449484993895799,0.0100507900121708,0.0210365452612803,"human"
"29","cookies","all","6",20,0.07347998866963,0.0458120141050692,0.0102438777725114,0.0214406825882849,"human"
"30","cookies","all","7",20,0.07670092538133,0.0536631154372568,0.0119994374002124,0.0251151111180114,"human"
"31","cookies","all","8",20,0.0757549171704085,0.0614210155208128,0.0137341565951607,0.0287459201206819,"human"
"32","cookies","all","9",20,0.109837292114238,0.108891877824026,0.0243489641012123,0.0509629675637618,"human"
"33","cookies","all","10",20,0.2740829703888,0.332785157777882,0.0744130234694336,0.155748248082775,"human"
"34","cookies","some","0",20,0.035911165507163,0.0725400975205995,0.0162204589150525,0.0339498106827465,"human"
"35","cookies","some","1",20,0.153353236799275,0.119912882738494,0.0268133357181235,0.0561209566369579,"human"
"36","cookies","some","2",20,0.179657632521115,0.089071319465238,0.0199169525169872,0.0416866607085624,"human"
"37","cookies","some","3",20,0.168217378880715,0.0963805793336485,0.0215513527100849,0.0451074996272455,"human"
"38","cookies","some","4",20,0.1305809185762,0.0669591099644528,0.01497251215934,0.0313378281044195,"human"
"39","cookies","some","5",20,0.0962453743473025,0.0530939323437232,0.011872164191334,0.024848725230347,"human"
"40","cookies","some","6",20,0.0811458287838525,0.0401461388432812,0.00897694954877216,0.0187889713407899,"human"
"41","cookies","some","7",20,0.059605788279825,0.031530548308958,0.00705044493866711,0.0147567508509116,"human"
"42","cookies","some","8",20,0.045107470851738,0.0361376383235859,0.00808062158378396,0.0169129353494308,"human"
"43","cookies","some","9",20,0.03045844338234,0.0288229356142088,0.00644500433444705,0.0134895491027635,"human"
"44","cookies","some","10",20,0.0197167620705425,0.0328859227298587,0.00735351587267694,0.0153910856059862,"human"
"45","pies","all","0",16,0.125194573322014,0.17902511212778,0.044756278031945,0.0953957484721361,"human"
"46","pies","all","1",16,0.216581416479043,0.253528535287558,0.0633821338218895,0.135095820331275,"human"
"47","pies","all","2",16,0.109180082167194,0.115623726950385,0.0289059317375964,0.0616115350660816,"human"
"48","pies","all","3",16,0.093185984933,0.116933608851242,0.0292334022128105,0.062309521861661,"human"
"49","pies","all","4",16,0.0655731525463519,0.0720401997308958,0.0180100499327239,0.0383875127446133,"human"
"50","pies","all","5",16,0.0532435884744688,0.0489406537999759,0.012235163449994,0.0260786335753392,"human"
"51","pies","all","6",16,0.0473649581263269,0.0558039489284085,0.0139509872321021,0.0297358253959743,"human"
"52","pies","all","7",16,0.0424517651223269,0.0510672917444626,0.0127668229361156,0.0272118389454258,"human"
"53","pies","all","8",16,0.0450812245527269,0.0526304674597509,0.0131576168649377,0.0280447964874211,"human"
"54","pies","all","9",16,0.0428992952969375,0.0538133039114495,0.0134533259778624,0.0286750855417823,"human"
"55","pies","all","10",16,0.159243958979381,0.310476217437563,0.0776190543593907,0.165441098141103,"human"
"56","pies","some","0",24,0.105264251478164,0.194020235186341,0.0396042146651101,0.0819275600716497,"human"
"57","pies","some","1",24,0.186933245711779,0.15907436004064,0.0324709177716121,0.0671712111655365,"human"
"58","pies","some","2",24,0.172772500912821,0.0959737930147134,0.0195905684637947,0.0405261785450643,"human"
"59","pies","some","3",24,0.137231951018246,0.0847106824483548,0.017291495646784,0.0357701840652476,"human"
"60","pies","some","4",24,0.113221562705592,0.0798276755051791,0.0162947560283467,0.033708271067961,"human"
"61","pies","some","5",24,0.0828756076569125,0.0665588083335793,0.0135862598587478,0.0281053198539295,"human"
"62","pies","some","6",24,0.0627414614260813,0.0548538866178833,0.0111970027185247,0.0231627648875589,"human"
"63","pies","some","7",24,0.0482465654190563,0.0466276802463816,0.00951783537444045,0.0196891425820519,"human"
"64","pies","some","8",24,0.0359455827736771,0.0421442949600176,0.00860266818511599,0.01779597501105,"human"
"65","pies","some","9",24,0.0363652054851892,0.0496196293009048,0.0101285644177725,0.0209525318654447,"human"
"66","pies","some","10",24,0.0184020654126013,0.0385056486824756,0.00785993262391137,0.0162595094398352,"human"
"67","M&M's","prior","0",40,0.0828475654166175,0.0634648300850092,0.0100346707192103,0.0202970373493055,"human"
"68","M&M's","prior","1",40,0.133431578371497,0.140194655295128,0.0221667213257395,0.0448364259525585,"human"
"69","M&M's","prior","2",40,0.111347306748723,0.0706458226666288,0.0111700853401449,0.0225936301935467,"human"
"70","M&M's","prior","3",40,0.12952327305573,0.139871044944866,0.0221155540366778,0.0447329303415705,"human"
"71","M&M's","prior","4",40,0.087922072941205,0.0466581548323768,0.00737730203455513,0.0149220018396634,"human"
"72","M&M's","prior","5",40,0.110571136012825,0.150206407625422,0.0237497183624008,0.0480383396850585,"human"
"73","M&M's","prior","6",40,0.0790721375135575,0.0453168911886311,0.00716522963170446,0.014493044916027,"human"
"74","M&M's","prior","7",40,0.07182018186699,0.0480097792860129,0.00759101262528866,0.0153542723110558,"human"
"75","M&M's","prior","8",40,0.0679118431368688,0.051213525117845,0.00809756931893167,0.0163788799357713,"human"
"76","M&M's","prior","9",40,0.065190990175572,0.0536050153207814,0.00847569712109454,0.0171437156078196,"human"
"77","M&M's","prior","10",40,0.0603619147605292,0.0643814395551693,0.0101795994017396,0.0205901832795104,"human"
"78","cookies","prior","0",40,0.108689177773164,0.102819158918717,0.016257136464298,0.0328831623121341,"human"
"79","cookies","prior","1",40,0.240449355551893,0.164499428438854,0.0260096433831327,0.0526094695044567,"human"
"80","cookies","prior","2",40,0.182446062910045,0.084691763047998,0.0133909435143479,0.0270857398571966,"human"
"81","cookies","prior","3",40,0.141656962287578,0.0798143181509673,0.0126197517625188,0.0255258573031646,"human"
"82","cookies","prior","4",40,0.10011539970189,0.0627234748231174,0.0099174521600639,0.0200599404340602,"human"
"83","cookies","prior","5",40,0.0686563048202675,0.0667595436811736,0.0105556106793005,0.0213507378764642,"human"
"84","cookies","prior","6",40,0.0446299539653082,0.0358797302062502,0.00567308346420468,0.0114748944116575,"human"
"85","cookies","prior","7",40,0.0356687179237758,0.0296014510187222,0.00468040036325369,0.00946700331688999,"human"
"86","cookies","prior","8",40,0.0320656165582607,0.0328477299427862,0.00519368212926584,0.0105052136844232,"human"
"87","cookies","prior","9",40,0.0255380128682275,0.0246612103618136,0.0038992797299938,0.00788703770454186,"human"
"88","cookies","prior","10",40,0.020084435639516,0.0257926254769925,0.00407817216714916,0.00824888181283924,"human"
"89","pies","prior","0",40,0.322940061895255,0.270114501665892,0.0427088527152783,0.0863868085923807,"human"
"90","pies","prior","1",40,0.33650750369824,0.244978588389886,0.0387345158642461,0.0783479535306304,"human"
"91","pies","prior","2",40,0.0989011920862075,0.109170525552434,0.0172613757051652,0.0349144279061808,"human"
"92","pies","prior","3",40,0.0601934946390225,0.0667407649844955,0.0105526415066509,0.0213447321579058,"human"
"93","pies","prior","4",40,0.0402567738511675,0.0511244567490433,0.00808348637328721,0.0163503944894889,"human"
"94","pies","prior","5",40,0.0271656694612793,0.0361752110484197,0.0057198030875147,0.0115693937695142,"human"
"95","pies","prior","6",40,0.0296946336830543,0.0433620799943392,0.00685614684322665,0.0138678659662333,"human"
"96","pies","prior","7",40,0.0231128991630908,0.0409248088946302,0.00647078044570746,0.0130883888530839,"human"
"97","pies","prior","8",40,0.0247383665305607,0.0401643470461777,0.00635054086996888,0.0128451813550084,"human"
"98","pies","prior","9",40,0.0191711067928468,0.0383681139084853,0.00606653147377994,0.0122707181281319,"human"
"99","pies","prior","10",40,0.0173182981993358,0.0371680771221153,0.00587678899773403,0.0118869277446885,"human"
