quantifier,eatenQuant,upset,happy,surprised,modelProb
some,0,0,0,0,0.015935927973863694
some,0,0,0,1,0.016061574647324776
some,0,0,1,0,0.005042376285954846
some,0,0,1,1,0.005406044469968679
some,0,1,0,0,0.0072709345898280785
some,0,1,0,1,0.006407995429896717
some,0,1,1,0,0.002416526200885656
some,0,1,1,1,0.002385298371494359
some,1,0,0,0,0.07017987160470228
some,1,0,0,1,0.013967332410865105
some,1,0,1,0,0.18992688357835538
some,1,0,1,1,0.03877707565738623
some,1,1,0,0,0.004361809035265052
some,1,1,0,1,0.0008303162227428008
some,1,1,1,0,0.012051748840800009
some,1,1,1,1,0.0023798926417940717
some,2,0,0,0,0.04404382330399889
some,2,0,0,1,0.01152544551583536
some,2,0,1,0,0.08046067257278869
some,2,0,1,1,0.021599519050008988
some,2,1,0,0,0.011153965220780921
some,2,1,0,1,0.0027917593032863413
some,2,1,1,0,0.020803551609714185
some,2,1,1,1,0.005401527470009749
some,3,0,0,0,0.029507572085616364
some,3,0,0,1,0.011866401601697834
some,3,0,1,0,0.03958431705948828
some,3,0,1,1,0.016330385395799275
some,3,1,0,0,0.009129851891840431
some,3,1,0,1,0.0035117636047283774
some,3,1,1,0,0.012504403054031924
some,3,1,1,1,0.00498947583397641
some,4,0,0,0,0.01874008722575797
some,4,0,0,1,0.013312914267546766
some,4,0,1,0,0.0150673494294322
some,4,0,1,1,0.010980600710422445
some,4,1,0,0,0.010517875133221229
some,4,1,0,1,0.00714669936925922
some,4,1,1,0,0.008633816510102404
some,4,1,1,1,0.0060857027511321705
some,5,0,0,0,0.008057882354606116
some,5,0,0,1,0.008411217543025307
some,5,0,1,0,0.01036587950153132
some,5,0,1,1,0.011100225747355476
some,5,1,0,0,0.004216913527537486
some,5,1,0,1,0.004210257073884355
some,5,1,1,0,0.005538465832824167
some,5,1,1,1,0.005736325912522634
some,6,0,0,0,0.00720794153704849
some,6,0,0,1,0.008287068254282636
some,6,0,1,0,0.004697249486075072
some,6,0,1,1,0.005540143322315307
some,6,1,0,0,0.004854549160063883
some,6,1,0,1,0.005338442132418071
some,6,1,1,0,0.0032299130207514327
some,6,1,1,1,0.0036845705935476597
some,7,0,0,0,0.003205242003198966
some,7,0,0,1,0.005180242907052658
some,7,0,1,0,0.0027009938171486834
some,7,0,1,1,0.0044781702608536035
some,7,1,0,0,0.0034693886746343734
some,7,1,0,1,0.005363128856127027
some,7,1,1,0,0.0029848689819468575
some,7,1,1,1,0.004786531997077113
some,8,0,0,0,0.0015412586655169911
some,8,0,0,1,0.006002717541624786
some,8,0,1,0,0.0005553898319204682
some,8,0,1,1,0.00221900363252213
some,8,1,0,0,0.0023067507276944366
some,8,1,0,1,0.00859308323861112
some,8,1,1,0,0.0008486578076807121
some,8,1,1,1,0.003279528292326042
some,9,0,0,0,0.0017477413734829329
some,9,0,0,1,0.0043530855757659935
some,9,0,1,0,0.0005308585621403512
some,9,0,1,1,0.0013563962366390566
some,9,1,0,0,0.0031750830096381175
some,9,1,0,1,0.007563992636376212
some,9,1,1,0,0.000984614653774686
some,9,1,1,1,0.002433283587097835
some,10,0,0,0,0.0004137817368278779
some,10,0,0,1,0.002304823681748164
some,10,0,1,0,0.0001284107792731766
some,10,0,1,1,0.0007595298591030542
some,10,1,0,0,0.0008959193408477969
some,10,1,0,1,0.004385692023755862
some,10,1,1,0,0.0002916480258640055
some,10,1,1,1,0.001592048750335272
all,0,0,0,0,0.01862309314640849
all,0,0,0,1,0.03997694535649617
all,0,0,1,0,0.0032220410873385363
all,0,0,1,1,0.008190361699850124
all,0,1,0,0,0.016084425004301614
all,0,1,0,1,0.030908294763601473
all,0,1,1,0,0.003238565809942196
all,0,1,1,1,0.006754276241983227
all,1,0,0,0,0.05413304417784929
all,1,0,0,1,0.0202078401680868
all,1,0,1,0,0.08470910461816453
all,1,0,1,1,0.03744568288713345
all,1,1,0,0,0.005752694899725456
all,1,1,0,1,0.0019223855943293728
all,1,1,1,0,0.01047627548210794
all,1,1,1,1,0.003799554330349818
all,2,0,0,0,0.033973077723855646
all,2,0,0,1,0.016674935055517023
all,2,0,1,0,0.03588618631655883
all,2,0,1,1,0.0208579096579495
all,2,1,0,0,0.014710721702515438
all,2,1,0,1,0.006463607142040761
all,2,1,1,0,0.018083992667669014
all,2,1,1,1,0.008623665088399773
all,3,0,0,0,0.022760581727606307
all,3,0,0,1,0.01716822796820561
all,3,0,1,0,0.017654962751218042
all,3,0,1,1,0.01576968924523055
all,3,1,0,0,0.01204116273518786
all,3,1,0,1,0.008130593597363941
all,3,1,1,0,0.010869756154381858
all,3,1,1,1,0.007965815002843823
all,4,0,0,0,0.014455112933274925
all,4,0,0,1,0.019261032513320456
all,4,0,1,0,0.006720173864221033
all,4,0,1,1,0.010603586916807396
all,4,1,0,0,0.013871796345424877
all,4,1,0,1,0.016546360938346334
all,4,1,1,0,0.007505154763563792
all,4,1,1,1,0.00971596694540595
all,5,0,0,0,0.006215424615461658
all,5,0,0,1,0.012169291510255927
all,5,0,1,0,0.004623275834419961
all,5,0,1,1,0.010719104684004024
all,5,1,0,0,0.005561595371626365
all,5,1,0,1,0.009747777202910016
all,5,1,1,0,0.0048144459845096445
all,5,1,1,1,0.00915817864153436
all,6,0,0,0,0.005559825185406253
all,6,0,0,1,0.01198967317583854
all,6,0,1,0,0.002095015674647223
all,6,0,1,1,0.005349925090526345
all,6,1,0,0,0.006402559114298543
all,6,1,0,1,0.012359802169854049
all,6,1,1,0,0.0028076803653662333
all,6,1,1,1,0.005882503230750769
all,7,0,0,0,0.0024723542946499507
all,7,0,0,1,0.007494739698194215
all,7,0,1,0,0.0012046676253468413
all,7,0,1,1,0.004324414377817442
all,7,1,0,0,0.004575701130510777
all,7,1,0,1,0.012416957986793913
all,7,1,1,0,0.002594669881188679
all,7,1,1,1,0.007641810415087613
all,8,0,0,0,0.001188845484070878
all,8,0,0,1,0.008684690325044783
all,8,0,1,0,0.0002477088787517877
all,8,0,1,1,0.002142815179849529
all,8,1,0,0,0.0030423232743245023
all,8,1,0,1,0.01989509415365985
all,8,1,1,0,0.0007377164178202979
all,8,1,1,1,0.0052358437123527874
all,9,0,0,0,0.0013481153330560862
all,9,0,0,1,0.006298014178044098
all,9,0,1,0,0.00023676771097675263
all,9,0,1,1,0.0013098250057650394
all,9,1,0,0,0.004187547801399845
all,9,1,0,1,0.017512497144461184
all,9,1,1,0,0.0008559002094155162
all,9,1,1,1,0.0038847942247332294
all,10,0,0,0,0.0009164865170615365
all,10,0,0,1,0.009036419233177929
all,10,0,1,0,0.00019591178183622494
all,10,0,1,1,0.002023503812817278
all,10,1,0,0,0.0031935011706236286
all,10,1,0,1,0.030232720190527387
all,10,1,1,0,0.0007109019410006586
all,10,1,1,1,0.006942008033652424
